País,Penetración,Acceso,Población,c100k
Argentina,"2,212596248E-07","82,9",45195774,"0,02212596248"
Bolivia,"5,140057574E-09","44,2",11673021,"0,0005140057574"
Brazil,"4,704566912E-09",79,212559417,"0,0004704566912"
Chile,"5,231164916E-09",82,19116201,"0,0005231164916"
Colombia,"2,161826851E-07","64,6",50882891,"0,02161826851"
Costa Rica,"9,815241814E-08","86,3",5094118,"0,009815241814"
Ecuador,"2,833976476E-08","59,2",17643054,"0,002833976476"
Guatemala,"5,581737626E-09","40,7",17915568,"0,0005581737626"
México,"3,877990568E-09","70,1",128932753,"0,0003877990568"
Panamá,"2,317622249E-10","63,6",4314767,"2,317622249E-05"
Paraguay,"7,010127391E-10","53,7",7132538,"7,010127391E-05"
Perú,"3,025688855E-08","64,8",33050325,"0,003025688855"
Uruguay,"1,773309958E-07",87,3473730,"0,01773309958"
