app,"Is the data collection / processing preceded by a clear affirmative act establishing a freely given, specific, informed and unambiguous indication of agreement by the data subject regarding the collection and / or processing of personal data related to it or the?",How is consent obtained?,Does the initiative allow users to have effective control over uses?,Can the interested party withdraw their consent to the initiative at any time?
Alerta Guate,No,Asumido,No,No
Bolivia Segura,No,Clic en box,No,No
CoronApp (Ch),Si,Clic en box,Si,Si
CoronApp (Co),No,Clic en box,No,No
Coronavírus - SUS,No,Clic en box,Si,No
Coronavirus UY,Si,Clic en box,Si,Si
Covid-19 PY,No,Clic en box,Si,Si
COVID-19MX,Si,Clic en box,Si,Si
CUIDAR,Si,Asumido,Si,Si
Dr. Sammy Bot!,No,Asumido,No,No
Ecuador ASI,No,Clic en box,No,Si
EDUS,No,Asumido,Si,Si
Perú en tus manos,Si,Clic en box,Si,Si
Protégete con salud,No,Clic en box,No,No
Salud en Cochabamba,Si,Clic en box,No,No
