País,app,DNI,Age,Gender,Address,Location,Photograph of the user,Symptomatology,Other pre-existing diseases
Argentina,CUIDAR,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim
Bolivia,Bolivia Segura,Sim,Sim,Não,Sim,Sim,Não,Sim,Não
Bolivia,Dr. Sammy Bot!,Sim,Não,Não,Não,Sim,Não,Sim,Sim
Bolivia,Salud en Cochabamba,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim
Brasil,Coronavírus - SUS,Não,Não,Não,Não,Sim,Não,Sim,Não
Chile,CoronApp (Ch),Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim
Colombia,CoronApp (Co),Sim,Não,Não,Não,Sim,Não,Sim,Não
Costa Rica,EDUS,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim
Ecuador,Ecuador ASI,Não,Sim,Sim,Não,Sim,Não,Não,Não
Guatemala,Alerta Guate,Não,Não,Não,Não,Sim,Não,Não,Não
México,COVID-19MX,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim
Panamá,Protégete con salud,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Paraguay,Covid-19 PY,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim
Perú,Perú en tus manos,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim
Uruguay,Coronavirus UY,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim
